artist_name,song_title,release_date,album,lyrics
The Weeknd,I Feel It Coming,2016-06-24,The Highlights (Deluxe),"238 ContributorsTranslationsTürkçePortuguêsΕλληνικάFrançaisEspañolDeutschI Feel It Coming Lyrics
Yeah, ah

Tell me what you really like
Baby, I can take my time
We don't ever have to fight
Just take it step-by-step
I can see it in your eyes
'Cause they never tell me lies
I can feel that body shake
And the heat between your legs

You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me

I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe

You are not the single type
So, baby, this the perfect time
I'm just tryna get you high (I'm just tryin', babe)
And faded off this touch
You don't need a lonely night
So, baby, I can make it right
You just gotta let me try (Try)
To give you what you want
You might also like
You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me

I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe

Uh, you've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me
I feel it comin' (I feel it comin')
I feel it comin', babe (I feel it comin', babe)
I feel it comin' (I feel it comin')
I feel it comin', babe (I know what you feel right now)
I feel it comin' (I feel it comin')
I feel it comin', babe (I feel it comin', baby)
I feel it comin' (I feel it comin')
I feel it comin', babe (I know what you say right now, babe)
I feel it comin' (Na-na-na, na-na-na, na-na-na; I feel it comin')
I feel it comin', babe (I feel it comin', babe; oh, babe)
I feel it comin' (I feel it comin')
I feel it comin', babe (I know what you say right now)
I feel it comin' (Na-na-na, na-na-na, na-na-na; I feel it comin')
I feel it comin', babe (I feel it comin', baby)
I feel it comin' (I feel it comin')
I feel it comin', babe
I feel it comin', babe
I feel it comin', babe
I feel it comin', babe
I feel it comin', babe142Embed"
The Weeknd,After Hours,2020-02-19,The Highlights (Deluxe),"256 ContributorsTranslationsTürkçeEspañolРусскийPortuguêsPolskiItalianoDeutschFrançaisفارسیNederlandsThe Weeknd - After Hours (Përkthim në Shqip)СрпскиAfter Hours Lyrics
Thought I almost died in my dream again (Baby, almost died)
Fightin' for my life, I couldn't breathe again
I'm fallin' in too deep (Oh, oh)
Without you, I can't sleep (Fallin' in)
'Cause my heart belongs to you
I'll risk it all for you
I want you next to me
This time, I'll never leave
I wanna share babies
Protection, we won't need
Your body next to me
Is just a memory
I'm fallin' in too deep, oh
Without you, I can't sleep
Insomnia relieve, oh
Talk to me, without you, I can't breathe

My darkest hours
Girl, I felt so alone inside of this crowded room
Different girls on the floor, distractin' my thoughts of you
I turned into the man I used to be, to be
Put myself to sleep
Just so I can get closer to you inside my dreams
Didn't wanna wake up 'less you were beside me
I just wanted to call you and say, and say
You might also like
Oh, baby
Where are you now when I need you most?
I'd give it all just to hold you close
Sorry that I broke your heart, your heart

Never comin' down, uh
I was running away from facin' reality, uh
Wastin' all of my time out living my fantasies
Spendin' money to compensate, compensate
'Cause I want you, baby, uh
I be livin' in heaven when I'm inside of you
It was simply a blessing wakin' beside you
I'll never let you down again, again

Oh, baby
Where are you now when I need you most?
I'd give it all just to hold you close
Sorry that I broke your heart, your heart
I said, baby
I'll treat you better than I did before
I'll hold you down and not let you go
This time, I won't break your heart, your heart, yeah
I know it's all my fault
Made you put down your guard
I know I made you fall
Then said you were wrong for me
I lied to you, I lied to you, I lied to you (To you)
Can't hide the truth, I'd stay with her in spite of you
You did some things that you regret, still ride for you
'Cause this house is not a home

Without my baby
Where are you now when I need you most?
I gave it all just to hold you close
Sorry that I broke your heart, your heart
And I said, baby
I'll treat you better than I did before
I'll hold you down and not let you go
This time, I won't break your heart, your heart, no231Embed"
The Weeknd,Save Your Tears,2020-03-20,The Highlights (Deluxe),"237 ContributorsTranslationsРусскийTürkçeEspañolPortuguêsPolskiDeutschFrançaisفارسیShqipСрпскиالعربيةSave Your Tears Lyrics
Ooh
Na-na, yeah

I saw you dancing in a crowded room (Uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away
I make you cry when I run away

You could've asked me why I broke your heart
You could've told me that you fell apart
But you walked past me like I wasn't there
And just pretended like you didn't care

I don't know why I run away
I make you cry when I run away

Take me back 'cause I wanna stay
Save your tears for another
You might also like
Save your tears for another day
Save your tears for another day (So)

I made you think that I would always stay
I said some things that I should never say
Yeah, I broke your heart like someone did to mine
And now you won't love me for a second time

I don't know why I run away, oh, girl
Said, I make you cry when I run away

Girl, take me back 'cause I wanna stay
Save your tears for another
I realize that I'm much too late
And you deserve someone better

Save your tears for another day (Oh yeah)
Save your tears for another day (Yeah)

I don't know why I run away
I'll make you cry when I run away
Save your tears for another day
Ooh, girl, I said (Ah)
Save your tears for another day (Ah)

Save your tears for another day (Ah)
Save your tears for another day (Ah)149Embed"
The Weeknd,Party Monster,2016-11-18,The Highlights (Deluxe),"225 ContributorsTranslationsTürkçeEspañolFrançaisParty Monster Lyrics
I'm good, I'm good, I'm great
Know it's been a while, now I'm mixin' up the drank
I just need a girl who gon' really understand
I just need a girl who gon' really understand
I'm good, I'm good, I'm great
Know it's been a while, now I'm mixin' up the drank
I just need a girl who gon' really understand
I just need a girl who gon' really understand

And I seen her get rich hittin' the pole
I've seen her, I knew she had to know
I've seen her take down that tequila
Down by the liter, I knew I had to meet her
Ooh, she mine, ooh, girl, bump and grind
Ooh, she mine, ooh, girl, bump a line
Angelina, lips like Angelina
Like Selena, ass shaped like Selena

I'm like, got up, thank the Lord for the day
Woke up by a girl, I don't even know her name
Woke up by a girl, I don't even know her name
(Woke up, woke up by a girl, I don't even know her name)
Got up, thank the Lord for the day
Woke up by a girl, I don't even know her name
Woke up by a girl, I don't even know her name
(Woke up, woke up by a girl, I don't even know her name)
You might also like
I'm good, I'm good, I'm great
Know it's been a while, now I'm mixin' up the drank
I just need a girl who gon' really understand
I just need a girl who gon' really understand
I'm good, I'm good, I'm great
Know it's been a while, now I'm mixin' up the drank
I just need a girl who gon' really understand
I just need a girl who gon' really understand

I been poppin', just took three in a row
I'm down to do it again, I'm on a roll
I've seen him outside tryna reach her
You tryna leave him, you said I'm the reason
Tell me lies, ooh, girl, tell me lies
Say you're mine, I'm yours for the night
I'm the realest, she said I'm the realest
Head be genius, dick game be the meanest

I'm like, got up, thank the Lord for the day
Woke up by a girl, I don't even know her name
Woke up by a girl, I don't even know her name
(Woke up, woke up by a girl, I don't even know her name)
Got up, thank the Lord for the day
Woke up by a girl, I don't even know her name
Woke up by a girl, I don't even know her name
(Woke up, woke up by a girl, I don't even know her name)
Yeah
Ooh, yeah
Ooh, yeah
Oh, yeah (Yeah)
Got up, thank the Lord for the day
Woke up by a girl, I don't even know her name
Bitches in my new spot, crowdin' up my space
Had to check the safe, check the dresser for my chains
Got up, thank the Lord for the day
Woke up by a girl, I don't even know her name
Bitches in my new spot, crowdin' up my space
Had to check the safe, check the dresser for my chains

Paranoid (Paranoid)
Paranoid (Oh, paranoid)
Paranoid (Oh, paranoid)
But I see somethin' in you (You're paranoid)
Paranoid (Paranoid)
Paranoid (Oh, paranoid)
Paranoid (Oh, paranoid)
But I see somethin' in you (I see somethin' in you)

(Got up, thank the Lord for the day)
(Woke up by a girl, I don't even know her name)
(Woke up by a girl, I don't even know her name)
(Woke up, woke up by a girl, I don't even know her name)
(Got up, thank the Lord for the day)
(Woke up by a girl, I don't even know her name)
(Woke up by a girl, I don't even know her name)
(Woke up, woke up by a girl, I don't even know her name)
You're paranoid159Embed"
The Weeknd,Earned It,2014-12-17,The Highlights (Deluxe),"137 ContributorsTranslationsTürkçeEspañolPortuguêsفارسیPolskiDeutschEarned It Lyrics
I'ma care for you
I'ma care for you, you, you, you

You make it look like it's magic (Oh, yeah)
'Cause I see nobody, nobody but you, you, you
I'm never confused
Hey, hey
And I'm so used to bein' used

So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah

'Cause girl, you're perfect
You're always worth it
And you deserve it
The way you work it
'Cause girl, you earned it, yeah
Girl, you earned it, yeah

You know our love would be tragic (Oh, yeah)
So you don't pay it, don't pay it no mind, mind, mind
We live with no lies
Hey, hey
You're my favorite kind of night
You might also like
So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah

'Cause girl, you're perfect (Girl, you're perfect)
You're always worth it (Always worth it)
And you deserve it (And you deserve it)
The way you work it (The way you work it)
'Cause girl, you earned it, yeah (Earned it)
Girl, you earned it, yeah

On that lonely night (Lonely night)
We said it wouldn't be love
But we felt the rush (Fell in love)
It made us believe it was only us (Only us)
Convinced we were broken inside, yeah, inside, yeah

'Cause girl, you're perfect (Girl, you're perfect)
You're always worth it (You're always worth it)
And you deserve it (And you deserve it)
The way you work it (The way you work it)
'Cause girl, you earned it, yeah (You earned it)
Girl, you earned it, yeah (You earned it)
Na-na-na-na-na
Oh-oh-oh
Yeah, yeah
'Cause girl, you're perfect
The way you work it
You deserve it
Girl, you deserve it
Girl, you earned it, yeah, yeah1.2KEmbed"
The Weeknd,Sidewalks,2016-11-25,Starboy (Deluxe),"252 ContributorsTranslationsTürkçePortuguêsEspañolSidewalks Lyrics
Uh, uh, uh, uh-uh, uh, yeah, like

I ran out of tears when I was eighteen
So nobody made me but the main streets
'Cause too many people think they made me
Well, if they really made me, then replace me
Homeless to Forbes List, these niggas bring no stress
I feel like Moses, I feel like I'm chosen
And if you ain't my nigga, then your girl single to me
I don't give a damn if a nigga said he knew me
Grew up with no father so nobody ever ""son"" me
My flow too sick, Kevin Costner couldn't touch me
I know you wish that nobody ever love me
I feel useless when I'm never makin' money, ah
Well, this the life we always fantasized
Rich folk problem through a Queen Street nigga's eyes
Every time you see me pullin' up in Aventadors
Just know we been grindin' on them sidewalks

Sidewalks saved my life
They don't ever lie
Sidewalks saved my life
They show me all the signs
You might also like
They don't let me down
But they lead me on
And they don't let me down
But they lead me on
And they lead me on

Say, say, say
I come from murder one, brung late night melee
Say, say, say
We hung all summer, sprung mattress with bae bae
Say, say, say
Trippin' off Dyke and my name strike with pay day
Say, say, say
Flippin' blue lightnin', tightenin', strapped with AK
Say, say, say
OG one, told me one, show me one, eight ways
How to segue
Pussy, power, profit and headache
I reminisce my life innocence or life innocent
Or life intimate, with fame
Light limo tint with light women, dark women in it
Aw, Kenny, good game
She wanna hang with a Starboy
The sun and the moon and star, boy
Astronomer, anonymous
I line 'em up, we grind 'em up, there's nine of us
And five of us have probably fucked
She mollied up, I tallied up all the parts, boy
Twenty legs, arms, head (Head)
Head, head, more head (Head)
Oh God, bless the dead (Yup)
I'm livin' life, high off life
I wear my chokes off to bed
I'm the greatest nigga, why you scared to say it?
I wanna rock, I wanna rock
I wanna cop more land, I never stop
I wanna quick advance on a bill if it ain't one
Break everything, I'm a hustler, came from
Sidewalks saved my life (Sidewalks saved my life)
They don't ever lie
Sidewalks saved my life (Sidewalks saved my life)
They show me all the signs

They don't let me down
But they lead me on
And they don't let me down
But they lead me on
And they lead me on157Embed"
The Weeknd,Wasted Times,2018-03-30,The Highlights (Deluxe),"130 ContributorsTranslationsTürkçeEspañolРусскийPortuguêsDeutschItalianoWasted Times Lyrics
Wasted times I spent with someone else
She wasn't even half of you
Reminiscin' how you felt
Reminiscin' how you felt
And even though you put my life through hell
I can't seem to forget 'bout you, 'bout you
I want you to myself

And now I'm askin', who do you belong to now?
Who you give that love to now?
Who you pullin' up on?
Who you gettin' sprung for now?
And what they got that I ain't got? 'Cause I got a lot
Don't make me run up on 'em, got me blowin' up their spot
'Cause I ain't got no business catchin' feelings anyway
I ain't got no business catchin' feelings

Catchin' feelings
These girls only want you when you're winnin' (Winnin')
But you've been with me from the beginnin' (Ooh, yeah, yeah)
And I know right now that we're not talkin' (Not talkin')
I hope you know this dick is still an option
'Cause I'll beat it up (I'll beat it up, yeah)
I took my time to learn the way your body functions
You were equestrian, so ride it like a champion (Ride it, baby)
This sex will get you high without no other substance
You might also like
So who do you belong to now? (Who do you belong to now?)
Who you give that love to now? (Who you give that love to now?)
Who you pullin' up on?
Who you gettin' sprung for now? (Who you gettin' sprung for now?)
And what they got that I ain't got? 'Cause I got a lot (I got a lot)
Don't make me run up on 'em, got me blowin' up their spot (Blowin' up their spot)
'Cause I ain't got no business catchin' feelings anyway
I ain't got no business catchin' feelings (Feelings)

Catchin' feelings
I ain't got no business catchin' feelings
I ain't got no business catchin' feelings
Catchin' fee-fee-fee-fee
Feelings
I ain't got no business catchin' feelings
I ain't got no business catchin' feelings
Catchin' fee-fee-fee-fee

Wake up
I don't wanna wake up
I don't wanna wake up
If you ain't layin' next to me
I don't wanna wake up
I don't wanna wake up
I don't wanna wake up
If you ain't layin' next to me-e-e
On me, me, on me, oh, I
On me, on me, on me121Embed"
The Weeknd,Tell Your Friends,2015-08-24,The Highlights (Deluxe),"177 ContributorsTranslationsEspañolPortuguêsDeutschفارسیPolskiFrançaisTell Your Friends Lyrics

We are not the same, I am too reckless
I'm not tryna go in that direction
These niggas, they been doin' too much flexin'
And they about to call the wrong attention
And I don't got no patience, no more testin'
I do shit how I want, don't need no blessin'
XO niggas ain't nothin' to mess with
Nobody stoppin' us, oh, no, we destined
And everybody 'round you is so basic
I'm never rockin' white, I'm like a racist
I don't drink my liquor wit' a chase in
That money is the only thing I'm chasin'
And some dope dimes on some coke lines
Gimme head all night, cum four times
Baby girl just wanna smoke a pound
Do an ounce, get some dick, tell her friends about it

Go tell your friends about it (About it)
Go tell your friends about it (About it, hey)
Go tell 'em what you know, what you seen
How I roll, how I get it on the low (Oh, woah)
Go tell your friends about it (About it)
Go tell your friends about it
I'm that nigga with the hair
Singin' 'bout poppin' pills, (Yeah, yeah) fuckin' bitches, livin' life so trill
You might also like
Last year I did all the politickin'
This year I'ma focus on the vision (That vision)
I think these hoes deserve another fixin' (Fixin')
I'm talkin' 'bout the ones from the beginnin' (Oh, oh, oh)
Don't believe the rumors, bitch, I'm still a user
I'm still rockin' camo and still roll with shooters
I'm a villain in my city, I just made another killin'
I'ma spend it all on bitches (On bitches)
And everybody fuckin', everybody fuckin' (Fuckin')
Pussy on the house, everybody fuckin' (Fuckin')
Man, I miss my city, man, it's been a minute (Been a minute)
MIA a habit, Cali was the mission (Ooh, woah)
Cruise through the west-end in my new Benz (Ooh, woah)
I'm just tryna live life through a new lens (Oh, woah, ho)
Drivin' by the streets I used to walk through
When I had no crib, I guess you call that shit a miracle

Go tell your friends about it (About it)
Go tell your friends about it (About it, hey)
Go tell 'em what you know, what you seen (Oh, ho-woah, oh)
How I roll, how I get it on the low
Go tell your friends about it (About it)
Go tell your friends about it
I'm that nigga with the hair
Singin' 'bout poppin' pills, (Yeah, yeah) fuckin' bitches, livin' life so trill
Roll some, think I’ll roll some
To know some, if we both honest
Who lasts? (Who lasts?)
Yeah, you lie (You lie)
Spent the whole summer
Tryna be at the wrong place at the right time
But I know what's mine when I see it
I know, know
My cousin said I made it big and it's unusual (Unusual)
She tried to take a selfie at my Grandma's funeral (Funeral)
Used to roam on Queen, now I sing Queen Street anthems (Queen Street anthems)
Used to hate attention, now I pull up in that wagon (That wagon)
And I was broken, I was broken, I was so broke (So broke)
I used to roam around the town when I was homeless (No, no, no, no, no)
Me and Lamar would rob a nigga for his Jordans
And flip it just to get these hoes another nose fix
Now we get faded when we want, girl, we got choices (Got choices)
Lay them on the fuckin' table, we got choices (Got choices)
And if they wanna fuck my niggas, they got choices (Got choices)

They told me not to fall in love, that shit is pointless
Yeah, that shit is pointless (Pointless)
They told me not to fall in love, that shit is pointless
Yeah, that shit is pointless (Pointless)
They told me not to fall in love, that shit is pointless
Go tell your friends about it (About it)
Go tell your friends about it (About it, hey)
Go tell 'em what you know, what you seen (Oh)
How I roll, how I get it on the low (Ooh, ooh)
Go tell your friends about it (About it)
Go tell your friends about it
I'm that nigga with the hair
Singin' 'bout poppin' pills, (Yeah, yeah) fuckin' bitches, livin' life so trill

Life so trill
(Politickin', yeah)
Life so trill
Life so trill (Life so trill)
(I'm that nigga with the—)
Life so trill
Life so trill (Ooh, ooh, ooh)
(life so trill)
(life so trill)
(yeah, yeah)
Life so trill97Embed"
The Weeknd,Montreal,2011-12-21,Trilogy,"131 ContributorsTranslationsEspañolFrançaisThe Weeknd - Montreal (Deutsche Übersetzung)PortuguêsMontreal Lyrics
Laisse tomber les filles
Laisse tomber les filles
Un jour c'est toi qu'on laissera
Laisse tomber les filles
Laisse tomber les filles
Un jour c'est toi qu'on laissera
Oui j'ai pleuré mais ce jour-là
Non, je ne pleurerai pas
Non, je ne pleurerai pas
Oui j'ai pleuré mais ce jour-là
Je ne pleurerai pas
Je ne pleurerai pas

I guess you had no idea that you could have persuaded me
Girl, you could have had me doing anything you pleased
Girl, you should have took your time and thought of what to say to me
'Cause I'm not as hard as I make it seem to be

And it could have went so many ways
So many ways it can go
'Cause ain't nobody feels the way that I feel when I'm alone
So if I say that I won't call
The lying comes natural to me
You probably could have had it all
You could have been that lonely star
If we just went on (Laisse tomber les filles, laisse tomber les filles)
If we just went on (Un jour c'est toi qu'on laissera)
If we just went on (Laisse tomber les filles, laisse tomber les filles)
If we just went on (Un jour c'est toi qu'on laissera)
You might also like
Happiness exists when you don't know a thing
So I hope you don't think this song is about you
And only I can know how close you came
But baby I'm a pro at letting go
I love it when they come and go

But it could have went so many ways
So many ways it can go
'Cause ain't nobody feels the way that I feel when I'm alone
So if I say that I won't call
The lying comes natural to me
You probably could have had it all
You could have been that lonely star
If we just went on (Laisse tomber les filles, laisse tomber les filles)
If we just went on (Un jour c'est toi qu'on laissera)
If we just went on (Laisse tomber les filles, laisse tomber les filles)
If we just went on (Un jour c'est toi qu'on laissera)
If we just went on (Laisse tomber les filles, laisse tomber les filles)
If we just went on (Un jour c'est toi qu'on laissera)
If we just went on (Laisse tomber les filles, laisse tomber les filles)
If we just went on (Un jour c'est toi qu'on laissera)

Laisse tomber les filles
Laisse tomber les filles
Un jour c'est toi qu'on laissera
Laisse tomber les filles
Laisse tomber les filles
Un jour c'est toi qu'on laissera
Oui j'ai pleuré mais ce jour-là
Non, je ne pleurerai pas
Non, je ne pleurerai pas (Je ne pleurerai pas)
Oui j'ai pleuré mais ce jour-là
Je ne pleurerai pas
Je ne pleurerai pas (Je ne pleurerai pas)149Embed"
The Weeknd,The Morning,2011-01-03,The Highlights (Deluxe),"177 ContributorsTranslationsTürkçeEspañolРусскийFrançaisDeutschPortuguêsThe Morning Lyrics
I'm fucking gone right now
I'm fucking gone right now
""Listen, listen""

From the morning to the evening
Complaints from the tenants
Got the walls kicking like they six months pregnant
Drinking Alizé with our cereal for breakfast
Girls calling cabs at dawn quarter to seven
Sky's getting cold, we're flying from the north
Rockin' with our city like a sold out show
House full of pros that specialize in the ho'in'
Make that money rain as they taking off they clothes
Order plane tickets
Cali is the mission
Visit every month like I'm split life living
Let the world listen
If a hater's caught slipping
Then my niggas stay tight
Got my back like Pippen
Fast life gripping
Yeah, we still tippin'
Codeine cups paint a picture so vivid
Fakes try to mimic
Get girls timid
But behind closed doors they get poles so rigid
You might also like
All that money, the money is the motive
All that money, the money is the motive
All that money, the money she be folding
Girl, put in work, girl, girl, put in work
Girl, put in work, girl, girl, put in work
Girl, put in work

Push it to the limit
Push it through the pain
I push it for the pleasure like a virgin to the game
A virgin to that money
A virgin to the fame
So this my only chance
And when I'm over only pray
That I flow from the bottom
Closer to the top
The higher that I climb
The harder I'ma drop
These pussy ass niggas tryna hold on to their credit
So I tell them use a debit
Watch they image start to lessen
I warn them like discretion
Why these niggas testing?
Always fucking testing
Why these niggas testing?
Shit that I got them on straight bar hopping
To the music of the ambiance
Get shit popping
Zombies of the night (Zombies of the night)
Niggas ain't talking if they hyping to the crew
Get it in like pockets
Downtown loving
When the moon coming
Only place to find bassheads and hot women
All that money, the money is the motive
All that money, the money is the motive
All that money, the money she be folding
Girl, put in work, girl, girl, put in work
Girl, put in work, girl, girl, put in work
Girl, put in work

Better slow down
She'll feel it in the morning
Ain't the kind of girl you'll be seeing in the morning
Too damn raw, ain't no nigga with her rollin'
Ain't no nigga that she holding
Man, her love is too damn foreign
Look at all that money
The money is the motive (The money is the motive)
All that money
The money she be folding (The money she be folding)
Girl, put in work, girl, girl, put in work
Girl, put in work, girl, girl, put in work

All that money, the money is the motive
All that money, the money is the motive
All that money, the money she be folding
Girl, put in work, girl, girl, put in work
Girl, put in work, girl, girl, put in work
Girl, put in work248Embed"
Taylor Swift,All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],2021-11-12,Red (Taylor’s Version),"378 ContributorsTranslationsРусскийفارسیEspañolPortuguêsFrançaisУкраїнськаHebrewNederlandsItalianoالعربيةPolskiMagyarTürkçeAfrikaansNorsk (bokmål / riksmål)DeutschSvenskaСрпскиSlovenščinaČeskyCatalàAll Too Well (10 Minute Version) (Taylor’s Version)  Lyrics
I walked through the door with you, the air was cold
But somethin' 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now

Oh, your sweet disposition and my wide-eyed gaze
We're singin' in the car, getting lost upstate
Autumn leaves fallin' down like pieces into place
And I can picture it after all these days

And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh

'Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well

Photo album on the counter, your cheeks were turnin' red
You used to be a little kid with glasses in a twin-sized bed
And your mother's tellin' stories 'bout you on the tee-ball team
You taught me 'bout your past, thinkin' your future was me
And you were tossing me the car keys, ""Fuck the patriarchy""
Keychain on the ground, we were always skippin' town
And I was thinkin' on the drive down, ""Any time now
He's gonna say it's love,"" you never called it what it was
'Til we were dead and gone and buried
Check the pulse and come back swearin' it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame
See Taylor Swift LiveGet tickets as low as $1,740You might also like
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to

'Cause there we are again in the middle of the night
We're dancin' 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath
Sacred prayer and we'd swear
To remember it all too well, yeah

Well, maybe we got lost in translation, maybe I asked for too much
But maybe this thing was a masterpiece 'til you tore it all up
Runnin' scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of bein' honest
I'm a crumpled-up piece of paper lyin' here
'Cause I remember it all, all, all
They say all's well that ends well, but I'm in a new hell
Every time you double-cross my mind
You said if we had been closer in age, maybe it would've been fine
And that made me want to die
The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weepin' in a party bathroom
Some actress askin' me what happened, you
That's what happened, you
You who charmed my dad with self-effacing jokes
Sippin' coffee like you're on a late-night show
But then he watched me watch the front door all night, willin' you to come
And he said, ""It's supposed to be fun turning twenty-one""

Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still tryin' to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well
And I was never good at tellin' jokes, but the punch line goes
""I'll get older, but your lovers stay my age""
From when your Brooklyn broke my skin and bones
I'm a soldier who's returning half her weight
And did the twin flame bruise paint you blue?
Just between us, did the love affair maim you too?
'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well

Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it (Just between us) all too well
Wind in my hair, I was there, I was there (I was there)
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
Wind in my hair, I was there, I was there (Oh)
Down the stairs, I was there, I was there (I was there)
Sacred prayer, I was there, I was there
It was rare, you remember it (All too well)
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it225Embed"
